{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'boolean-array', 'NUMA': 'static-parallel', 'numSSG': 5} sssp.gt sx-stackoverflow
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'boolean-array', 'NUMA': 'static-parallel', 'numSSG': 5} cc.gt komarix-imdb
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'boolean-array', 'NUMA': 'static-parallel', 'numSSG': 5} cc.gt moreno_blogs
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'boolean-array', 'NUMA': 'static-parallel', 'numSSG': 5} cc.gt opsahl-usairport
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'boolean-array', 'NUMA': 'static-parallel', 'numSSG': 5} cc.gt patentcite
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'boolean-array', 'NUMA': 'static-parallel', 'numSSG': 5} cc.gt petster-friendships-dog
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'boolean-array', 'NUMA': 'static-parallel', 'numSSG': 5} cc.gt roadNet-CA
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'boolean-array', 'NUMA': 'static-parallel', 'numSSG': 5} cc.gt subelj_cora
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'boolean-array', 'NUMA': 'static-parallel', 'numSSG': 5} cc.gt sx-mathoverflow
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'boolean-array', 'NUMA': 'static-parallel', 'numSSG': 5} cc.gt youtube-groupmemberships
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'boolean-array', 'NUMA': 'static-parallel', 'numSSG': 5} pagerank.gt sx-stackoverflow
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'boolean-array', 'NUMA': 'static-parallel', 'numSSG': 5} pagerank.gt dblp-cite
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'boolean-array', 'NUMA': 'static-parallel', 'numSSG': 5} pagerank.gt dbpedia-team
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'boolean-array', 'NUMA': 'static-parallel', 'numSSG': 5} pagerank.gt dimacs9-E
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'boolean-array', 'NUMA': 'static-parallel', 'numSSG': 5} pagerank.gt douban
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'boolean-array', 'NUMA': 'static-parallel', 'numSSG': 5} pagerank.gt facebook-wosn-wall
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'boolean-array', 'NUMA': 'static-parallel', 'numSSG': 5} pagerank.gt github
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'boolean-array', 'NUMA': 'static-parallel', 'numSSG': 5} pagerank.gt komarix-imdb
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'boolean-array', 'NUMA': 'static-parallel', 'numSSG': 5} pagerank.gt moreno_blogs
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'boolean-array', 'NUMA': 'static-parallel', 'numSSG': 5} pagerank.gt opsahl-usairport
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'boolean-array', 'NUMA': 'static-parallel', 'numSSG': 5} pagerank.gt patentcite
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'boolean-array', 'NUMA': 'static-parallel', 'numSSG': 5} pagerank.gt petster-friendships-dog
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'boolean-array', 'NUMA': 'static-parallel', 'numSSG': 5} pagerank.gt roadNet-CA
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'boolean-array', 'NUMA': 'static-parallel', 'numSSG': 5} pagerank.gt subelj_cora
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'boolean-array', 'NUMA': 'static-parallel', 'numSSG': 5} pagerank.gt sx-mathoverflow
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'boolean-array', 'NUMA': 'static-parallel', 'numSSG': 5} pagerank.gt youtube-groupmemberships
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'boolean-array', 'NUMA': 'static-parallel', 'numSSG': 5} bfs.gt sx-stackoverflow
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'boolean-array', 'NUMA': 'static-parallel', 'numSSG': 5} bfs.gt dblp-cite
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'boolean-array', 'NUMA': 'static-parallel', 'numSSG': 5} bfs.gt dbpedia-team
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'boolean-array', 'NUMA': 'static-parallel', 'numSSG': 5} bfs.gt dimacs9-E
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'boolean-array', 'NUMA': 'static-parallel', 'numSSG': 5} bfs.gt douban
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'boolean-array', 'NUMA': 'static-parallel', 'numSSG': 5} bfs.gt facebook-wosn-wall
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'boolean-array', 'NUMA': 'static-parallel', 'numSSG': 5} bfs.gt github
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'boolean-array', 'NUMA': 'static-parallel', 'numSSG': 5} bfs.gt komarix-imdb
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'boolean-array', 'NUMA': 'static-parallel', 'numSSG': 5} bfs.gt moreno_blogs
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'boolean-array', 'NUMA': 'static-parallel', 'numSSG': 5} bfs.gt opsahl-usairport
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'boolean-array', 'NUMA': 'static-parallel', 'numSSG': 5} bfs.gt patentcite
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'boolean-array', 'NUMA': 'static-parallel', 'numSSG': 5} bfs.gt petster-friendships-dog
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'boolean-array', 'NUMA': 'static-parallel', 'numSSG': 5} bfs.gt roadNet-CA
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'boolean-array', 'NUMA': 'static-parallel', 'numSSG': 5} bfs.gt subelj_cora
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'boolean-array', 'NUMA': 'static-parallel', 'numSSG': 5} bfs.gt sx-mathoverflow
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'boolean-array', 'NUMA': 'static-parallel', 'numSSG': 5} bfs.gt youtube-groupmemberships
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'boolean-array', 'NUMA': 'static-parallel', 'numSSG': 5} cf.gt sx-stackoverflow
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'boolean-array', 'NUMA': 'static-parallel', 'numSSG': 5} cf.gt dblp-cite
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'boolean-array', 'NUMA': 'static-parallel', 'numSSG': 5} cf.gt dbpedia-team
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'boolean-array', 'NUMA': 'static-parallel', 'numSSG': 5} cf.gt dimacs9-E
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'boolean-array', 'NUMA': 'static-parallel', 'numSSG': 5} cf.gt douban
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'boolean-array', 'NUMA': 'static-parallel', 'numSSG': 5} cf.gt facebook-wosn-wall
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'boolean-array', 'NUMA': 'static-parallel', 'numSSG': 5} cf.gt github
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'boolean-array', 'NUMA': 'static-parallel', 'numSSG': 5} cf.gt komarix-imdb
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'boolean-array', 'NUMA': 'static-parallel', 'numSSG': 5} cf.gt moreno_blogs
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'boolean-array', 'NUMA': 'static-parallel', 'numSSG': 5} cf.gt opsahl-usairport
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'boolean-array', 'NUMA': 'static-parallel', 'numSSG': 5} cf.gt patentcite
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'boolean-array', 'NUMA': 'static-parallel', 'numSSG': 5} cf.gt petster-friendships-dog
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'boolean-array', 'NUMA': 'static-parallel', 'numSSG': 5} cf.gt roadNet-CA
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'boolean-array', 'NUMA': 'static-parallel', 'numSSG': 5} cf.gt subelj_cora
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'boolean-array', 'NUMA': 'static-parallel', 'numSSG': 5} cf.gt sx-mathoverflow
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'boolean-array', 'NUMA': 'static-parallel', 'numSSG': 5} cf.gt youtube-groupmemberships
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'bitvector', 'NUMA': 'static-parallel', 'numSSG': 5} sssp.gt sx-stackoverflow
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'bitvector', 'NUMA': 'static-parallel', 'numSSG': 5} sssp.gt dblp-cite
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'bitvector', 'NUMA': 'static-parallel', 'numSSG': 5} sssp.gt dbpedia-team
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'bitvector', 'NUMA': 'static-parallel', 'numSSG': 5} sssp.gt dimacs9-E
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'bitvector', 'NUMA': 'static-parallel', 'numSSG': 5} sssp.gt douban
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'bitvector', 'NUMA': 'static-parallel', 'numSSG': 5} sssp.gt facebook-wosn-wall
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'bitvector', 'NUMA': 'static-parallel', 'numSSG': 5} sssp.gt github
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'bitvector', 'NUMA': 'static-parallel', 'numSSG': 5} sssp.gt komarix-imdb
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'bitvector', 'NUMA': 'static-parallel', 'numSSG': 5} sssp.gt moreno_blogs
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'bitvector', 'NUMA': 'static-parallel', 'numSSG': 5} sssp.gt opsahl-usairport
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'bitvector', 'NUMA': 'static-parallel', 'numSSG': 5} sssp.gt patentcite
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'bitvector', 'NUMA': 'static-parallel', 'numSSG': 5} sssp.gt petster-friendships-dog
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'bitvector', 'NUMA': 'static-parallel', 'numSSG': 5} sssp.gt roadNet-CA
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'bitvector', 'NUMA': 'static-parallel', 'numSSG': 5} sssp.gt subelj_cora
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'bitvector', 'NUMA': 'static-parallel', 'numSSG': 5} sssp.gt sx-mathoverflow
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'bitvector', 'NUMA': 'static-parallel', 'numSSG': 5} sssp.gt youtube-groupmemberships
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'bitvector', 'NUMA': 'static-parallel', 'numSSG': 5} cc.gt sx-stackoverflow
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'bitvector', 'NUMA': 'static-parallel', 'numSSG': 5} cc.gt dblp-cite
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'bitvector', 'NUMA': 'static-parallel', 'numSSG': 5} cc.gt dbpedia-team
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'bitvector', 'NUMA': 'static-parallel', 'numSSG': 5} cc.gt dimacs9-E
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'bitvector', 'NUMA': 'static-parallel', 'numSSG': 5} cc.gt douban
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'bitvector', 'NUMA': 'static-parallel', 'numSSG': 5} cc.gt facebook-wosn-wall
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'bitvector', 'NUMA': 'static-parallel', 'numSSG': 5} cc.gt github
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'bitvector', 'NUMA': 'static-parallel', 'numSSG': 5} cc.gt komarix-imdb
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'bitvector', 'NUMA': 'static-parallel', 'numSSG': 5} cc.gt moreno_blogs
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'bitvector', 'NUMA': 'static-parallel', 'numSSG': 5} cc.gt opsahl-usairport
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'bitvector', 'NUMA': 'static-parallel', 'numSSG': 5} cc.gt patentcite
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'bitvector', 'NUMA': 'static-parallel', 'numSSG': 5} cc.gt petster-friendships-dog
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'bitvector', 'NUMA': 'static-parallel', 'numSSG': 5} cc.gt roadNet-CA
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'bitvector', 'NUMA': 'static-parallel', 'numSSG': 5} cc.gt subelj_cora
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'bitvector', 'NUMA': 'static-parallel', 'numSSG': 5} cc.gt sx-mathoverflow
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'bitvector', 'NUMA': 'static-parallel', 'numSSG': 5} cc.gt youtube-groupmemberships
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'bitvector', 'NUMA': 'static-parallel', 'numSSG': 5} pagerank.gt sx-stackoverflow
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'bitvector', 'NUMA': 'static-parallel', 'numSSG': 5} pagerank.gt dblp-cite
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'bitvector', 'NUMA': 'static-parallel', 'numSSG': 5} pagerank.gt dbpedia-team
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'bitvector', 'NUMA': 'static-parallel', 'numSSG': 5} pagerank.gt dimacs9-E
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'bitvector', 'NUMA': 'static-parallel', 'numSSG': 5} pagerank.gt douban
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'bitvector', 'NUMA': 'static-parallel', 'numSSG': 5} pagerank.gt facebook-wosn-wall
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'bitvector', 'NUMA': 'static-parallel', 'numSSG': 5} pagerank.gt github
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'bitvector', 'NUMA': 'static-parallel', 'numSSG': 5} pagerank.gt komarix-imdb
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'bitvector', 'NUMA': 'static-parallel', 'numSSG': 5} pagerank.gt moreno_blogs
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'bitvector', 'NUMA': 'static-parallel', 'numSSG': 5} pagerank.gt opsahl-usairport
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'bitvector', 'NUMA': 'static-parallel', 'numSSG': 5} pagerank.gt patentcite
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'bitvector', 'NUMA': 'static-parallel', 'numSSG': 5} pagerank.gt petster-friendships-dog
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'bitvector', 'NUMA': 'static-parallel', 'numSSG': 5} pagerank.gt roadNet-CA
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'bitvector', 'NUMA': 'static-parallel', 'numSSG': 5} pagerank.gt subelj_cora
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'bitvector', 'NUMA': 'static-parallel', 'numSSG': 5} pagerank.gt sx-mathoverflow
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'bitvector', 'NUMA': 'static-parallel', 'numSSG': 5} pagerank.gt youtube-groupmemberships
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'bitvector', 'NUMA': 'static-parallel', 'numSSG': 5} bfs.gt sx-stackoverflow
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'bitvector', 'NUMA': 'static-parallel', 'numSSG': 5} bfs.gt dblp-cite
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'bitvector', 'NUMA': 'static-parallel', 'numSSG': 5} bfs.gt dbpedia-team
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'bitvector', 'NUMA': 'static-parallel', 'numSSG': 5} bfs.gt dimacs9-E
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'bitvector', 'NUMA': 'static-parallel', 'numSSG': 5} bfs.gt douban
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'bitvector', 'NUMA': 'static-parallel', 'numSSG': 5} bfs.gt facebook-wosn-wall
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'bitvector', 'NUMA': 'static-parallel', 'numSSG': 5} bfs.gt github
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'bitvector', 'NUMA': 'static-parallel', 'numSSG': 5} bfs.gt komarix-imdb
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'bitvector', 'NUMA': 'static-parallel', 'numSSG': 5} bfs.gt moreno_blogs
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'bitvector', 'NUMA': 'static-parallel', 'numSSG': 5} bfs.gt opsahl-usairport
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'bitvector', 'NUMA': 'static-parallel', 'numSSG': 5} bfs.gt patentcite
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'bitvector', 'NUMA': 'static-parallel', 'numSSG': 5} bfs.gt petster-friendships-dog
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'bitvector', 'NUMA': 'static-parallel', 'numSSG': 5} bfs.gt roadNet-CA
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'bitvector', 'NUMA': 'static-parallel', 'numSSG': 5} bfs.gt subelj_cora
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'bitvector', 'NUMA': 'static-parallel', 'numSSG': 5} bfs.gt sx-mathoverflow
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'bitvector', 'NUMA': 'static-parallel', 'numSSG': 5} bfs.gt youtube-groupmemberships
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'bitvector', 'NUMA': 'static-parallel', 'numSSG': 5} cf.gt sx-stackoverflow
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'bitvector', 'NUMA': 'static-parallel', 'numSSG': 5} cf.gt dblp-cite
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'bitvector', 'NUMA': 'static-parallel', 'numSSG': 5} cf.gt dbpedia-team
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'bitvector', 'NUMA': 'static-parallel', 'numSSG': 5} cf.gt dimacs9-E
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'bitvector', 'NUMA': 'static-parallel', 'numSSG': 5} cf.gt douban
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'bitvector', 'NUMA': 'static-parallel', 'numSSG': 5} cf.gt facebook-wosn-wall
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'bitvector', 'NUMA': 'static-parallel', 'numSSG': 5} cf.gt github
{'direction': 'DensePull', 'parallelization': 'dynamic-vertex-parallel', 'DenseVertexSet': 'bitvector', 'NUMA': 'static-parallel', 'numSSG': 5} cf.gt komarix-imdb
